13.233; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
28.218; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.250; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
28.281; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
28.314; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
28.423; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
28.519; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
49.312; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001B 0000 0014 0000 0000 0000 34C0 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0073 0000 047A FEFE FEFE CC68 ; CC68; CRC OK;
49.406; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 001F 0000 0014 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0020 0000 0056 0000 0262 FEFE FEFE 72DA ; 72DA; CRC OK;
49.499; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0023 0000 0014 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0071 0000 001B 0000 0049 FEFE FEFE 5A39 ; 5A39; CRC OK;
49.609; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001C 0000 0014 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000D 0000 003D 0000 01E8 FEFE FEFE A21B ; A21B; CRC OK;
49.703; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0020 0000 0014 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0024 0000 0055 0000 024B FEFE FEFE CE74 ; CE74; CRC OK;
49.812; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0024 0000 0014 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 004F 0000 0018 0000 003C FEFE FEFE 234E ; 234E; CRC OK;
49.907; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001D 0000 0014 0000 0002 0000 34BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0012 0000 0054 0000 01F7 FEFE FEFE D6E7 ; D6E7; CRC OK;
50.004; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0021 0000 0014 0000 0002 0000 3DBC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0024 0000 0051 0000 021F FEFE FEFE A966 ; A966; CRC OK;
50.115; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0025 0000 0014 0000 0002 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 004A 0000 0025 0000 002F FEFE FEFE 603F ; 603F; CRC OK;
50.209; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001E 0000 0014 0000 0000 0000 34BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002E 0000 010D 0000 0346 FEFE FEFE 567C ; 567C; CRC OK;
50.412; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0022 0000 0014 0000 0000 0000 3DBC 0000 0000 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0007 0000 002B 0000 0114 0000 03D0 FEFE FEFE F920 ; F920; CRC OK;
50.506; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0026 0000 0014 0000 0000 0000 46BC 0000 0000 0000 0002 0000 0000 0000 0000 0000 0001 0000 0002 0000 000B 0000 00D6 0000 0049 0000 009E FEFE FEFE 34FB ; 34FB; CRC OK;
54.210; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0003 0000 001E 0001 0000 000E 002B 000A 000A 000A 000A FF00 0011 0401 1100 0015 119F 00E5 0000 0000 0000 0000 000D 0000 0027 FEFE FEFE FEFE FEFE 0A75 ; 0A75; CRC OK;
54.305; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001B 0000 0014 0000 0000 0000 34C0 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0073 0000 047A FEFE FEFE CC68 ; CC68; CRC OK;
