1.166; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.148; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.180; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.212; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.244; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.351; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.445; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
32.441; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 001B 0000 000C 0001 0002 0004 46C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 0036 0000 FEFE FEFE DB31 ; DB31; CRC OK;
32.537; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0022 0000 0014 0000 0000 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0006 0000 0007 0000 0069 0000 003D 0000 020B 0000 FEFE FEFE C7E8 ; C7E8; CRC OK;
32.630; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0014 0000 000A 0000 0000 0000 3DC0 0007 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0026 0000 005D 0000 0289 0000 FEFE FEFE FD62 ; FD62; CRC OK;
32.741; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0018 0000 000A 0000 0000 0000 46C0 0005 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 003B 0000 0016 0000 002E 0000 FEFE FEFE 95CA ; 95CA; CRC OK;
32.833; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0023 0000 0014 0000 0001 0005 34BC 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 0008 0000 000B 0000 00C6 0000 0055 0000 0202 0000 FEFE FEFE FDB4 ; FDB4; CRC OK;
32.941; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0027 0000 0014 0000 0001 0005 3DBC 0000 0000 0000 0000 0001 0000 0005 0000 000C 0000 000B 0000 000A 0000 0096 0000 0050 0000 01F1 0000 FEFE FEFE 641C ; 641C; CRC OK;
33.034; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002B 0000 0014 0000 0001 0005 46BC 0000 0000 0000 0000 0001 0000 0005 0000 0009 0000 0007 0000 0006 0000 0075 0000 0019 0000 0036 0000 FEFE FEFE 5FB7 ; 5FB7; CRC OK;
33.129; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0024 0000 0014 0000 0001 0004 34BC 0000 0000 0001 0000 0003 0000 0008 0000 000B 0000 0006 0000 0010 0000 0108 0000 0103 0000 0305 0000 FEFE FEFE 6444 ; 6444; CRC OK;
33.332; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0028 0000 0014 0000 0001 0004 3DBC 0000 0000 0001 0000 0003 0000 0008 0000 000C 0000 0007 0000 0010 0000 00FD 0000 0114 0000 036A 0000 FEFE FEFE 0BF6 ; 0BF6; CRC OK;
33.441; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002C 0000 0014 0000 0001 0004 46BC 0000 0000 0000 0000 0003 0000 0008 0000 000A 0000 0005 0000 0007 0000 0065 0000 0049 0000 007B 0000 FEFE FEFE 1D3A ; 1D3A; CRC OK;
