1.473; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.453; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.485; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.518; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.565; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.659; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.752; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
43.145; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0033 0000 001E 0000 0000 0004 34BC 0000 0000 0000 0000 0001 0000 0004 0000 000B 0000 000E 0000 000E 0000 00A9 0000 0053 0000 026D 0000 FEFE FEFE B16A ; B16A; CRC OK;
43.255; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0037 0000 001E 0000 0000 0004 3DBC 0000 0000 0000 0000 0001 0000 0004 0000 000A 0000 0009 0000 000C 0000 00A6 0000 0058 0000 024F 0000 FEFE FEFE EDAC ; EDAC; CRC OK;
43.349; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 003B 0000 001E 0000 0000 0004 46BC 0000 0000 0000 0000 0001 0000 0004 0000 0008 0000 0008 0000 0005 0000 005E 0000 0014 0000 0030 0000 FEFE FEFE 7940 ; 7940; CRC OK;
43.457; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0034 0000 001E 0000 0000 0004 34BC 0001 0000 0004 0000 0001 0000 0000 0000 0001 0000 0001 0000 0002 0000 0036 0000 011A 0000 02C2 0000 FEFE FEFE 1488 ; 1488; CRC OK;
43.645; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0038 0000 001E 0000 0000 0004 3DBC 0001 0000 0004 0000 0001 0000 0000 0000 0000 0000 0001 0000 0005 0000 002F 0000 00E6 0000 036B 0000 FEFE FEFE 8241 ; 8241; CRC OK;
43.757; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 003C 0000 001E 0000 0000 0004 46BC 0001 0000 0003 0000 0001 0000 0002 0000 0001 0000 0001 0000 0006 0000 007D 0000 0051 0000 009D 0000 FEFE FEFE E409 ; E409; CRC OK;
47.443; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0030 0000 001E 0001 000E 0000 002D 000A 000A 000A 0009 FF00 000D 0401 1900 FEFE 0001 08E6 0000 0000 0000 0000 03CD 0000 0030 FEFE FEFE FEFE FEFE E750 ; E750; CRC OK;
47.552; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0031 0000 001E 0000 0000 0005 34C0 0000 0000 0000 0000 0001 0000 0003 0000 000B 0000 000C 0000 000A 0000 0094 0000 0076 0000 0561 0000 FEFE FEFE 770D ; 770D; CRC OK;
47.650; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0035 0000 001E 0000 0000 0005 3DC0 0000 0000 0000 0000 0000 0000 0004 0000 0007 0000 000B 0000 0009 0000 0075 0000 0054 0000 0285 0000 FEFE FEFE 3127 ; 3127; CRC OK;
47.759; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 003D 0000 0020 0001 0002 0004 46C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0009 0000 002E 0000 FEFE FEFE 7494 ; 7494; CRC OK;
47.854; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0032 0000 001E 0000 0001 0004 34C0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0009 0000 003D 0000 029A 0000 FEFE FEFE F6BD ; F6BD; CRC OK;
47.945; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0036 0000 001E 0000 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0026 0000 0062 0000 025A 0000 FEFE FEFE C734 ; C734; CRC OK;
