1.629; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
16.602; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
16.633; W; CW 0xEA24; AW 0xE800: 0003 0000 0000 000A 
16.665; W; CW 0xEA24; AW 0xE800: 0005 0001 0000 0000 
16.712; W; CW 0xEA24; AW 0xE800: 0003 0001 0000 0015 
16.805; W; CW 0xEA24; AW 0xE800: 0003 0002 0000 000A 
16.915; W; CW 0xEA24; AW 0xE800: 0003 0003 0000 000A 
43.495; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 002E 0000 001A 0000 0000 0000 46BC 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 003F 0000 0020 0000 0041 FEFE FEFE AA01 ; AA01; CRC OK;
43.604; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0027 0000 001A 0000 0000 0000 34BC 0000 0001 0000 0004 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 0032 0000 010D 0000 0348 FEFE FEFE 975D ; 975D; CRC OK;
43.793; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 002B 0000 001A 0000 0000 0000 3DBC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0001 0000 0001 0000 0005 0000 0031 0000 0103 0000 0351 FEFE FEFE 7F0D ; 7F0D; CRC OK;
43.904; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 002F 0000 001A 0000 0000 0000 46BC 0000 0001 0000 0003 0000 0000 0000 0000 0000 0000 0000 0001 0000 0006 0000 0091 0000 004A 0000 0089 FEFE FEFE 56F1 ; 56F1; CRC OK;
47.594; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 0003 0000 0019 0001 0000 000E 002B 000A 000A 000A 0009 FF00 0011 0401 1100 0015 119F 007D 0000 0001 0000 0004 000D 0000 0024 FEFE FEFE FEFE FEFE 4A2B ; 4A2B; CRC OK;
47.705; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 0024 0000 001A 0000 0000 0000 34C0 0000 0000 0000 0002 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000C 0000 0073 0000 04D9 FEFE FEFE 7863 ; 7863; CRC OK;
47.801; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0028 0000 001A 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 001A 0000 0052 0000 02A4 FEFE FEFE 0EE2 ; 0EE2; CRC OK;
47.896; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 002C 0000 001A 0000 0000 0000 46C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 0042 0000 0015 0000 0049 FEFE FEFE D0E2 ; D0E2; CRC OK;
48.006; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0025 0000 001A 0000 0000 0000 34C0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0007 0000 003F 0000 022E FEFE FEFE 6BF0 ; 6BF0; CRC OK;
48.101; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0029 0000 001A 0000 0000 0000 3DC0 0000 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 003A 0000 0058 0000 0276 FEFE FEFE 2010 ; 2010; CRC OK;
