1.615; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
11.609; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
28.093; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001A 000C 0000 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000A 0000 0035 0000 01DA 0000 FEFE FEFE 496F ; 496F; CRC OK;
28.191; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0017 000A 0000 0000 0000 0000 46C0 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0041 0000 001A 0000 0041 0000 FEFE FEFE BE50 ; BE50; CRC OK;
28.296; R; CW 0xED00; AW 0xE800: 0FF1 0D28 0010 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0010 0000 005B 0000 0315 0000 FEFE FEFE 11B5 ; 11B5; CRC OK;
28.391; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0014 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0005 0000 0007 0000 FEFE FEFE FA66 ; FA66; CRC OK;
28.486; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0018 000A 0000 0000 0000 0000 46BC 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0003 0000 0004 0000 FEFE FEFE 9062 ; 9062; CRC OK;
28.595; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 0011 000A 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 002F 0000 01C9 0000 06E0 0000 FEFE FEFE B11B ; B11B; CRC OK;
28.795; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0015 000A 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 FEFE FEFE 6736 ; 6736; CRC OK;
28.888; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0019 000A 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 000A 0000 FEFE FEFE 88EC ; 88EC; CRC OK;
32.598; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 001B 0014 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE DD97 0001 0000 0000 0000 0000 0085 0000 001B 0000 0000 0000 0000 D9DC ; D9DC; CRC OK;
32.693; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000E 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0668 ; 0668; CRC OK;
32.788; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0012 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2C35 ; 2C35; CRC OK;
32.899; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0016 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 391A ; 391A; CRC OK;
32.993; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001D 0014 0000 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0009 0000 000C 0000 0070 0000 0033 0000 0220 0000 FEFE FEFE 682C ; 682C; CRC OK;
33.088; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 001A 000C 0000 0001 0001 0004 3DC0 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0001 0000 0001 0000 000A 0000 0035 0000 01DA 0000 FEFE FEFE 496F ; 496F; CRC OK;
33.197; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0017 000A 0000 0000 0000 0000 46C0 0006 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0041 0000 001A 0000 0041 0000 FEFE FEFE BE50 ; BE50; CRC OK;
33.291; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001E 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 000E 0000 005F 0000 0351 0000 FEFE FEFE B8C8 ; B8C8; CRC OK;
33.400; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0022 0014 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 0007 0000 FEFE FEFE E22C ; E22C; CRC OK;
33.493; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0026 0014 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0000 0003 0000 0004 0000 FEFE FEFE 2599 ; 2599; CRC OK;
33.588; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001F 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0003 0000 003F 0000 0202 0000 0802 0000 FEFE FEFE B4A0 ; B4A0; CRC OK;
