2.316; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
12.308; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
33.295; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 001B 0014 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D8A2 0001 0000 0000 0000 0000 0085 0000 001B 0000 0000 0000 0000 8B72 ; 8B72; CRC OK;
33.390; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 000E 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 0668 ; 0668; CRC OK;
33.500; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0012 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2C35 ; 2C35; CRC OK;
33.597; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0016 000A 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 391A ; 391A; CRC OK;
33.691; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001D 0014 0000 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0006 0000 0009 0000 0068 0000 003A 0000 022E 0000 FEFE FEFE F9E1 ; F9E1; CRC OK;
33.800; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0021 0014 0000 0000 0001 0004 3DC0 0000 0000 0000 0000 0000 0000 0003 0000 0007 0000 000A 0000 0010 0000 007A 0000 0056 0000 01F6 0000 FEFE FEFE 3D57 ; 3D57; CRC OK;
33.895; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0017 000A 0000 0000 0000 0000 46C0 0006 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0005 0000 0055 0000 001C 0000 0039 0000 FEFE FEFE ABFA ; ABFA; CRC OK;
34.004; R; CW 0xED00; AW 0xE800: 0FF1 0D28 001E 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0012 0000 0066 0000 036A 0000 FEFE FEFE DD97 ; DD97; CRC OK;
34.099; R; CW 0xED20; AW 0xE800: 0FF1 0D29 0022 0014 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0005 0000 0007 0000 FEFE FEFE AFF5 ; AFF5; CRC OK;
34.196; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0026 0014 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0004 0000 0005 0000 FEFE FEFE F99C ; F99C; CRC OK;
34.291; R; CW 0xED60; AW 0xE800: 0FF1 0D2B 001F 0014 0000 0000 0000 0000 34BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0033 0000 01F0 0000 06E2 0000 FEFE FEFE D0A5 ; D0A5; CRC OK;
34.497; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0023 0014 0000 0000 0000 0000 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0002 0000 0007 0000 FEFE FEFE EAEC ; EAEC; CRC OK;
34.593; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0027 0014 0000 0000 0000 0000 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0002 0000 0008 0000 FEFE FEFE 0230 ; 0230; CRC OK;
38.301; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 001B 0014 0000 0001 000E 0000 002B 000A 0009 0000 0009 0000 00FF 0000 00FE FEFE D8A2 0001 0000 0000 0000 0000 0085 0000 001B 0000 0000 0000 0000 8B72 ; 8B72; CRC OK;
38.397; R; CW 0xEC40; AW 0xE800: 0FF1 0D22 001C 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE D2DF ; D2DF; CRC OK;
38.493; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0020 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 2670 ; 2670; CRC OK;
38.588; R; CW 0xEC80; AW 0xE800: 0FF1 0D24 0024 0014 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE 335F ; 335F; CRC OK;
38.700; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 001D 0014 0000 0000 0001 0004 34C0 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 0006 0000 0009 0000 0068 0000 003A 0000 022E 0000 FEFE FEFE F9E1 ; F9E1; CRC OK;
