73.079; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
73.171; R; CW 0xECE4; AW 0xE800: 0FF1 0D27 013F 0072 ; AF67; CRC BAD;
73.280; R; CW 0xED04; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
73.372; R; CW 0xED24; AW 0xE800: 0FF1 0D29 0139 0071 ; D4A0; CRC BAD;
73.479; R; CW 0xED44; AW 0xE800: 0FF1 0D2A 013D 0071 ; CD74; CRC BAD;
73.572; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0136 0071 ; 4B2F; CRC BAD;
73.774; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
73.882; R; CW 0xEDA4; AW 0xE800: 0FF1 0D2D 013E 0071 ; 7887; CRC BAD;
77.581; R; CW 0xEC24; AW 0xE800: 0FF1 0D21 0132 0070 ; CC6A; CRC BAD;
77.674; R; CW 0xEC44; AW 0xE800: 0FF1 0D22 0140 0090 ; CBEF; CRC BAD;
77.782; R; CW 0xEC64; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
77.876; R; CW 0xEC84; AW 0xE800: 0FF1 0D24 0148 0090 ; F847; CRC BAD;
77.968; R; CW 0xECA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.077; R; CW 0xECC4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.169; R; CW 0xECE4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.277; R; CW 0xED04; AW 0xE800: 0FF1 0D28 0142 0090 ; 2C6C; CRC BAD;
78.369; R; CW 0xED24; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.477; R; CW 0xED44; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.570; R; CW 0xED64; AW 0xE800: 0FF1 0D2B 0143 0090 ; 651D; CRC BAD;
78.770; R; CW 0xED84; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
78.878; R; CW 0xEDA4; AW 0xE800: FEFE FEFE FEFE FEFE ; 2B84; CRC BAD;
