1.703; W; CW 0xEA24; AW 0xFEFE: 0002 0000 0000 0000 
54.862; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0047 009B 0000 0000 0001 0004 34BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 000C 0000 0088 0000 009D 0000 0471 0000 FEFE FEFE 3C65 ; 3C65; CRC OK;
54.893; R; CW 0xECC0; AW 0xE800: 0FF1 0D26 0053 009D 0000 0001 0001 0004 3DBC 0000 0000 0001 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0009 0000 005B 0000 027F 0000 FEFE FEFE 1E90 ; 1E90; CRC OK;
54.924; R; CW 0xECE0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.955; R; CW 0xED00; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
54.985; R; CW 0xED20; AW 0xE800: 0FF1 0D29 004B 009B 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0005 0000 000A 0000 FEFE FEFE 3642 ; 3642; CRC OK;
55.016; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 004F 009B 0000 0000 0000 0004 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0006 0000 0004 0000 0007 0000 FEFE FEFE EAC2 ; EAC2; CRC OK;
55.048; R; CW 0xED60; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
55.078; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 004C 009B 0000 0000 0000 0005 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 000B 0000 FEFE FEFE E375 ; E375; CRC OK;
55.109; R; CW 0xEDA0; AW 0xE800: 0FF1 0D2D 0050 009B 0000 0000 0000 0005 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0001 0000 0004 0000 000B 0000 FEFE FEFE 7828 ; 7828; CRC OK;
55.139; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
55.171; R; CW 0xEC40; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
55.201; R; CW 0xEC60; AW 0xE800: 0FF1 0D23 0051 009B 0000 FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE CF2A ; CF2A; CRC OK;
55.232; R; CW 0xEC80; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
55.263; R; CW 0xECA0; AW 0xE800: 0FF1 0D25 0047 009B 0000 0000 0001 0004 34BC 0000 0000 0000 0000 0001 0000 0003 0000 0008 0000 000A 0000 000C 0000 0088 0000 009D 0000 0471 0000 FEFE FEFE 3C65 ; 3C65; CRC OK;
