21.305; W; CW 0xEA24; AW 0xE800: 0002 0000 0000 0000 
31.290; W; CW 0xEA24; AW 0xE800: 0001 0000 0000 003C 
32.255; R; CW 0xEC20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.661; R; CW 0xECA0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.754; R; CW 0xECC0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
47.862; R; CW 0xECE0; AW 0xE800: 0FF1 0D27 0174 000C 0000 0000 0001 0004 46BC 0000 0000 0000 0000 0000 0000 0003 0000 0006 0000 000A 0000 0005 0000 0052 0000 001E 0000 002F 0000 FEFE FEFE D8CB ; D8CB; CRC OK;
47.971; R; CW 0xED00; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
48.063; R; CW 0xED20; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
48.156; R; CW 0xED40; AW 0xE800: 0FF1 0D2A 0175 000C 0000 0000 0000 0004 46BC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0004 0000 0003 0000 0004 0000 FEFE FEFE C0D4 ; C0D4; CRC OK;
48.264; R; CW 0xED60; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
48.465; R; CW 0xED80; AW 0xE800: 0FF1 0D2C 0172 000C 0000 0000 0000 0004 3DBC 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0003 0000 0008 0000 FEFE FEFE 3F33 ; 3F33; CRC OK;
48.559; R; CW 0xEDA0; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
52.254; R; CW 0xEC20; AW 0xE800: 0FF1 0D21 016A 000B 0000 0000 0009 0000 002B 0000 0000 0000 0000 0000 0000 0604 07FE FEFE A061 0001 0000 7700 00B8 0000 0005 0000 07BF 0000 0000 0000 0000 57E4 ; 57E4; CRC OK;
52.362; R; CW 0xEC40; AW 0xE800: FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE FEFE ; 7968; CRC BAD;
